Title and Description,Description,Updated Date,Request Type,Publisher,Keywords,Current state,Alternative Title,Creator,Time Coverage,Spatial Coverage,Language,Subjects,Update Frequency,Related Documents Titles,Related Documents URLs,Usage Considerations,Contact,Contact Email,Contact Phone,Distribution Type,Distribution Titles,Distribution URLs,Format
Job Vacancies,"A position is considered ""vacant"" if it meets all three of the following conditions: a specific position exists; work could start within 30 days; and the employer is actively seeking employees from outside the organization to fill the...","Thursday, February 20, 2014 - 13:43",,Innovation and Advanced Education,Job Vacancies,Dataset Management System: Published,,Innovation and Advanced Education,"Tuesday, March 1, 2011",,English,Employment,Monthly,IAE Open Data,https://data.iae.alberta.ca/,"Source: Statistics Canada

Adapted from Statistics Canada, Cansim table 282-0087, This does not constitute an endorsement by Statistics Canada of this product.
For more details on the Statistics Canada Open Licence Agreement, visit: http://www.statcan.gc.ca/reference/licence-eng.html",Michael Parkatti,Michael.parkatti@gov.ab.ca,780-415-4885,DownloadDownloadDownloadDownload,Job VacanciesJob VacanciesJob VacanciesJob Vacancies,https://data.iae.alberta.ca/api/views/hwb3-39ea/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/hwb3-39ea/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/hwb3-39ea/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/hwb3-39ea/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Business Incorporations,The number of businesses that are incorporated in Alberta under the Business Corporations Act. Non-Alberta incorporations constitute businesses that are registered in Alberta but may have their headquarters outside Alberta.,"Thursday, February 20, 2014 - 13:44",,Innovation and Advanced Education,"Business Incorporations, Incorporated Businesses",Dataset Management System: Published,,Innovation and Advanced Education,"Tuesday, January 1, 1991",,English,Business and Economic Development,Monthly,IAE Open Data,https://data.iae.alberta.ca/,"Fixed Parameters:  
•BusinessIncorporationType=Alberta Incorporations
For Comparisons:
•BusinessIncorporationType=Alberta Incorporations, Non-Alberta Incorporations

Source: BusinessIncorporations.csv 

Adapted from Statistics Canada, Cansim table 282-0087, This does not constitute an endorsement by Statistics Canada of this product.
For more details on the Statistics Canada Open Licence Agreement, visit: http://www.statcan.gc.ca/reference/licence-eng.html",Michael Parkatti,Michael.parkatti@gov.ab.ca,780-415-4885,DownloadDownloadDownloadDownload,Business IncorporationsBusiness IncorporationsBusiness IncorporationsBusiness Incorporations,https://data.iae.alberta.ca/api/views/5jgx-th46/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/5jgx-th46/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/5jgx-th46/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/5jgx-th46/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Wholesale Trade,The value of sales for wholesale merchants in Canada and the provinces. For this indicator seasonally adjusted estimates are shown.,"Thursday, February 20, 2014 - 13:46",,Innovation and Advanced Education,"Wholesale Trade, Trade",Dataset Management System: Published,,Innovation and Advanced Education,"Friday, January 1, 1993",,English,Retail and Wholesale Trade,Monthly,IAE Open Data,https://data.iae.alberta.ca/,"Fixed Parameters:  
•NAICS=Wholesale Trade
•DataType=Seasonally adjusted (x 1,000)

Stats Canada source:  http://www20.statcan.gc.ca/tables-tableaux/cansim/csv/00810011-eng.zip
Stats Canada table: 081-0011
Stats Canada description: Table 0081-0011 - Wholesale trade, sales by the North American Industry Classification System (NAICS)
 monthly (dollars x 1,000)

Adapted from Statistics Canada, Cansim table 282-0087, This does not constitute an endorsement by Statistics Canada of this product.
For more details on the Statistics Canada Open Licence Agreement, visit: http://www.statcan.gc.ca/reference/licence-eng.html",Michael Parkatti,Michael.parkatti@gov.ab.ca,780-415-4885,DownloadDownloadDownloadDownload,Wholesale TradeWholesale TradeWholesale TradeWholesale Trade,https://data.iae.alberta.ca/api/views/xhf4-i2xv/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/xhf4-i2xv/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/xhf4-i2xv/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/xhf4-i2xv/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Merchandise Exports,"Exports of goods to international destinations from a particular province or Canada. It does not include re-exports, i.e. goods that are being shipped out of the country after they have been imported.","Thursday, February 20, 2014 - 13:47",,Innovation and Advanced Education,"Exports, Trade, International, Merchandise Exports, Goods Exports",Dataset Management System: Published,,Innovation and Advanced Education,"Thursday, January 1, 1998",,English,Business and Economic Development,Monthly,IAE Open Data,https://data.iae.alberta.ca/,"Fixed Parameters:  
•Trade=Domestic export
•NAPCS=Total of all merchandise
For Comparisons:  
•Trade=Domestic export
•NAPCS='Farm, fishing and intermediate food products','Energy products','Metal ores and non-metallic minerals','Metal and non-metallic mineral products','Basic and industrial chemical, plastic and rubber products'
,'Forestry products and building and packaging materials','Industrial machinery, equipment and parts','Electronic and electrical equipment and parts','Motor vehicles and parts'
,'Aircraft and other transportation equipment and parts','Consumer goods'


Stats Canada source:  http://www20.statcan.gc.ca/tables-tableaux/cansim/csv/02280060-eng.zip
Stats Canada table: 228-0060
Stats Canada description: Table 028-0060 - Merchandise imports and domestic exports, customs-based, by North American Product Classification System (NAPCS), Canada, provinces and territories
 monthly (dollars x 1,000,000) 

Adapted from Statistics Canada, Cansim table 282-0087, This does not constitute an endorsement by Statistics Canada of this product.
For more details on the Statistics Canada Open Licence Agreement, visit: http://www.statcan.gc.ca/reference/licence-eng.html",Michael Parkatti,Michael.parkatti@gov.ab.ca,780-415-4885,DownloadDownloadDownloadDownload,Merchandise ExportsMerchandise ExportsMerchandise ExportsMerchandise Exports,https://data.iae.alberta.ca/api/views/53ub-g982/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/53ub-g982/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/53ub-g982/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/53ub-g982/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Energy Prices,Prices in US dollars per barrel of WCS oil and in Canadian dollars per gigajoule of natural gas.,"Thursday, February 20, 2014 - 13:48",,Innovation and Advanced Education,"Energy Prices, Oil Prices, Gas Prices, Crude Oil Prices, Natural Gas Prices, Differential",Dataset Management System: Published,,Innovation and Advanced Education,"Wednesday, January 1, 1986",,English,Environment and Natural Resources,Monthly,IAE Open Data,https://data.iae.alberta.ca/,"Fixed Parameters:  
•Type=WTI, WCS, NatGas

Source:
Oil:U.S Energy Information Administration                       
Gas: Alberta Energy

Oil: http://www.eia.gov/dnav/pet/pet_pri_spt_s1_d.htm            

Gas: http://www.energy.alberta.ca/NaturalGas/1316.asp

Adapted from Statistics Canada, Cansim table 282-0087, This does not constitute an endorsement by Statistics Canada of this product.
For more details on the Statistics Canada Open Licence Agreement, visit: http://www.statcan.gc.ca/reference/licence-eng.html",Michael Parkatti,Michael.parkatti@gov.ab.ca,780-415-4885,DownloadDownloadDownloadDownload,Energy PricesEnergy PricesEnergy PricesEnergy Prices,https://data.iae.alberta.ca/api/views/25uf-6b5k/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/25uf-6b5k/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/25uf-6b5k/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/25uf-6b5k/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Consumer Price Index,The Consumer Price Index or CPI is an index obtained by comparing the cost of a fixed basket of goods and services purchased by consumers. This is an indicator of changes in consumer prices.,"Thursday, February 20, 2014 - 13:50",,Innovation and Advanced Education,"CPI, Consumer Price Index, Inflation",Dataset Management System: Published,,Innovation and Advanced Education,"Thursday, January 1, 1914",,English,Finance,Monthly,IAE Open Data,https://data.iae.alberta.ca/,"Fixed Parameters:  
•Comm=All-items CPI
For Comparisons:  
•Comm='All-items CPI','Energy','Food','Shelter','Household operations, furnishings and equipment','Transportation','Recreation, education and reading','All-items CPI excluding food and energy'

Stats Canada source:  http://www20.statcan.gc.ca/tables-tableaux/cansim/csv/03260020-eng.zip
Stats Canada table: 326-0020
Stats Canada description: Table 326-0020 - Consumer Price Index (CPI), 2011 basket
 monthly (2002=100) 

Adapted from Statistics Canada, Cansim table 282-0087, This does not constitute an endorsement by Statistics Canada of this product.
For more details on the Statistics Canada Open Licence Agreement, visit: http://www.statcan.gc.ca/reference/licence-eng.html",Michael Parkatti,Michael.parkatti@gov.ab.ca,780-415-4885,DownloadDownloadDownloadDownload,Consumer Price IndexConsumer Price IndexConsumer Price IndexConsumer Price Index,https://data.iae.alberta.ca/api/views/qvez-jyzq/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/qvez-jyzq/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/qvez-jyzq/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/qvez-jyzq/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Farm Cash Receipts,"Farm cash receipts measure the gross revenue of farms from the sale of products (livestock and crops), and from direct program payments to producers.","Thursday, February 20, 2014 - 13:55",,Innovation and Advanced Education,"Crop Receipts, Livestock Receipts, Farm Receipts, Farm Cash Receipts",Dataset Management System: Published,,Innovation and Advanced Education,"Monday, March 1, 1971",,English,Agriculture,Quarterly (every 3 months),IAE Open Data,https://data.iae.alberta.ca/,"Fixed Parameters:  
•FarmCashReceiptType=Total farm cash receipts
For Comparisons:  
•FarmCashReceiptType='Total farm cash receipts','Total crops receipts','Total receipts from livestock and livestock products','Total receipts from direct payments'

Stats Canada source:  http://www20.statcan.gc.ca/tables-tableaux/cansim/csv/00020002-eng.zip
Stats Canada table: 002-0002
Stats Canada description: Table 002-0002 -Farm cash receipts
 quarterly (dollars x 1,000)

Adapted from Statistics Canada, Cansim table 282-0087, This does not constitute an endorsement by Statistics Canada of this product.
For more details on the Statistics Canada Open Licence Agreement, visit: http://www.statcan.gc.ca/reference/licence-eng.html",Michael Parkatti,Michael.parkatti@gov.ab.ca,780-415-4885,DownloadDownloadDownloadDownload,Farm Cash ReceiptsFarm Cash ReceiptsFarm Cash ReceiptsFarm Cash Receipts,https://data.iae.alberta.ca/api/views/us6z-k9eb/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/us6z-k9eb/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/us6z-k9eb/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/us6z-k9eb/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Investments,"Total private and public capital expenditures in any given year. This includes expenditures on construction, machinery and equipment.","Thursday, February 20, 2014 - 13:59",,Innovation and Advanced Education,"Investment, Capital Expenditure, Expenditure",Dataset Management System: Published,,Innovation and Advanced Education,"Tuesday, January 1, 1991",,English,Business and Economic Development,Annually,IAE Open Data,https://data.iae.alberta.ca/,"Fixed Parameters:  
•Type=Capital Expenditures
•NAICS=Total Expenditures
For Comparisons:  
•Type=Capital Expenditures
•NAICS='Agriculture, forestry, fishing and hunting','Mining and oil and gas extraction','Utilities','Construction','Manufacturing','Wholesale trade','Transportation and warehousing','Finance and insurance','Real estate and rental and leasing','Information and cultural industries','Professional, scientific and technical services','Management of companies and enterprises','Administrative and support, waste management and remediation services','Arts, entertainment and recreation','Other services (except public administration)','Educational services','Health care and social assistance','Public administration','Housing'

Stats Canada source:  http://www20.statcan.gc.ca/tables-tableaux/cansim/csv/00290005-eng.zip
Stats Canada table: 029-0005
Stats Canada description: Table 029-0005 -Capital and repair expenditures, by sector and province
 annual (dollars x 1,000,000) 

Adapted from Statistics Canada, Cansim table 282-0087, This does not constitute an endorsement by Statistics Canada of this product.
For more details on the Statistics Canada Open Licence Agreement, visit: http://www.statcan.gc.ca/reference/licence-eng.html",Michael Parkatti,Michael.parkatti@gov.ab.ca,780-415-4885,DownloadDownloadDownloadDownload,InvestmentsInvestmentsInvestmentsInvestments,https://data.iae.alberta.ca/api/views/v4k7-vrq9/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/v4k7-vrq9/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/v4k7-vrq9/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/v4k7-vrq9/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Employer Businesses,The number of businesses with employees on record at a particular point in time.,"Thursday, February 20, 2014 - 13:59",,Innovation and Advanced Education,"Number of Businesses, Small Businesses",Dataset Management System: Published,,Innovation and Advanced Education,"Saturday, June 1, 2013",,English,Business and Economic Development,Semi-annual (every 6 months),IAE Open Data,https://data.iae.alberta.ca/,"Fixed Parameters:  
•EmploymentSize=Total with employees
•NAICS=Total, all industries

For Comparisons:  
•EmploymentSize='1 to 4 employee size','10 to 19 employee size','100 to 199 employee size','20 to 49 employee size','200 to 499 employee size','5 to 9 employee size','50 to 99 employee size','500 and plus employee size','Total, all sizes'
•NAICS=Total, all industries

Stats Canada source:  http://www20.statcan.gc.ca/tables-tableaux/cansim/csv/05510004-eng.zip
Stats Canada table: 551-0004
Stats Canada description: Table  551-0004 - Canadian business patterns, location counts, employment size and North American Industry Classification System (NAICS), national industries, by Canada and provinces
 semi-annual (number) 

Adapted from Statistics Canada, Cansim table 282-0087, This does not constitute an endorsement by Statistics Canada of this product.
For more details on the Statistics Canada Open Licence Agreement, visit: http://www.statcan.gc.ca/reference/licence-eng.html",Michael Parkatti,Michael.parkatti@gov.ab.ca,780-415-4885,DownloadDownloadDownloadDownload,Employer BusinessesEmployer BusinessesEmployer BusinessesEmployer Businesses,https://data.iae.alberta.ca/api/views/swgf-4kgf/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/swgf-4kgf/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/swgf-4kgf/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/swgf-4kgf/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Gross Domestic Product,Gross Domestic Product (GDP) is a measure of the economic production which takes place within the geographical boundaries of a province or country. It can be measured at basic prices (by industry) or at market prices.,"Thursday, February 20, 2014 - 14:01",,Innovation and Advanced Education,"Gross Domestic Product, GDP, Output, Production",Dataset Management System: Published,,Innovation and Advanced Education,"Wednesday, August 1, 2007",,English,Business and Economic Development,Annually,IAE Open Data,https://data.iae.alberta.ca/,"Fixed Parameters: 
Basic 
•NAICS=All industries
•ValueType=Chained (2007) dollars
Market
•Prices=Chained (2007) dollars
•Estimates=Gross domestic product at market prices

For Comparisons:  
•NAICS='Accommodation and food services','Administrative and support, waste management and remediation services','Agriculture, forestry, fishing and hunting','All industries','Arts, entertainment and recreation','Construction','Educational services','Finance and insurance','Health care and social assistance','Information and cultural industries','Management of companies and enterprises','Manufacturing','Mining, quarrying, and oil and gas extraction','Other services (except public administration)','Professional, scientific and technical services','Public administration','Real estate and rental and leasing','Retail trade','Transportation and warehousing','Utilities','Wholesale trade'
•ValueType=Chained (2007) dollars

Stats Canada source:  http://www20.statcan.gc.ca/tables-tableaux/cansim/csv/03790030-eng.zip (basic), http://www20.statcan.gc.ca/tables-tableaux/cansim/csv/03840038-eng.zip (market), 
Stats Canada table: 379-0030 (basic), 384-0038 (market)
Stats Canada description: Table  379-0030 - Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS), provinces and territories
 annual (dollars x 1,000,000), Table 384-0038 - Gross domestic product, expenditure-based, provincial and territorial
 annual (dollars x 1,000,000) 

Adapted from Statistics Canada, Cansim table 282-0087, This does not constitute an endorsement by Statistics Canada of this product.
For more details on the Statistics Canada Open Licence Agreement, visit: http://www.statcan.gc.ca/reference/licence-eng.html",Michael Parkatti,Michael.parkatti@gov.ab.ca,780-415-4885,DownloadDownloadDownloadDownloadDownloadDownloadDownloadDownload,Gross Domestic Product BasicGross Domestic Product BasicGross Domestic Product BasicGross Domestic Product BasicGross Domestic Product MarketGross Domestic Product MarketGross Domestic Product MarketGross Domestic Product Market,https://data.iae.alberta.ca/api/views/wwpt-yzyy/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/wwpt-yzyy/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/wwpt-yzyy/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/wwpt-yzyy/rows.json?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/eit9-s3pv/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/eit9-s3pv/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/eit9-s3pv/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/eit9-s3pv/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSONCSVXLSXMLJSON
Productivity Growth,Meaures the growth in labour productivity as measured by the ratio of output (GDP) to the number of hours worked.,"Thursday, February 20, 2014 - 14:02",,Innovation and Advanced Education,"Output, Productivity Growth, Labour Productivity, Hours Worked",Dataset Management System: Published,,Innovation and Advanced Education,"Monday, January 1, 2007",,English,Business and Economic Development,Annually,IAE Open Data,https://data.iae.alberta.ca/,"Fixed Parameters: 
•Estimates=Labour productivity (chained (2007) dollars per hour)
•NAICS=Business sector industries

Stats Canada source:  http://www20.statcan.gc.ca/tables-tableaux/cansim/csv/03830029-eng.zip
Stats Canada table: 383-0029
Stats Canada description: Table  383-0029 - Labour productivity and related variables by business sector industry, consistent with the North American Industry Classification System (NAICS) and the System of National Accounts (SNA), provinces and territories.

Adapted from Statistics Canada, Cansim table 282-0087, This does not constitute an endorsement by Statistics Canada of this product.
For more details on the Statistics Canada Open Licence Agreement, visit: http://www.statcan.gc.ca/reference/licence-eng.html",Michael Parkatti,Michael.parkatti@gov.ab.ca,780-415-4885,DownloadDownloadDownloadDownload,Productivity GrowthProductivity GrowthProductivity GrowthProductivity Growth,https://data.iae.alberta.ca/api/views/humq-y3pj/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/humq-y3pj/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/humq-y3pj/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/humq-y3pj/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Apprenticeship and Provincial Labour Force Statistics,"An overview of apprenticeship (total and new registrations) and labour force statistics (labour force, number employed and unemployed, and unemployment rate) for the last six calendar years. Includes per cent change. ","Thursday, February 20, 2014 - 14:05",,Innovation and Advanced Education,"Apprenticeship, Industry, Trades, Occupations, Training, Apprentice, Journeyperson, Tradesperson",Dataset Management System: Published,"Apprenticeship and Provincial Labour Force Statistics, 2007 - 2012.",Innovation and Advanced Education,"Monday, January 1, 2007 - Monday, December 31, 2012",,English,Education and Training,Annually,Apprenticeship and Industry Training Board 2012 Statistical ProfilesIAE Open Data,http://tradesecrets.alberta.ca/sources/pdfs/BOARD_ANNUAL_REPORT/PDF/2012_STATISTICAL_REPORT.PDFhttps://data.iae.alberta.ca/,"Total Apprentices Registered: Total number registered as of December 31, 2012. Apprentices may be registered in more than one trade or branch of a trade within the same year but are counted here only once. New Apprentices Registered: All apprentices registering during a single calendar year. The number includes those who are returning to do an additional apprenticeship after completing one or more apprenticeships in previous years, or continuing an apprenticeship in another trade for which they registered in a previous year. Apprentices who registered in more than one trade or branch of a trade within a specific year, or who changed from one branch of a trade to another branch within the same trade on the same day, are counted only once. The number does not include reinstated apprentices (unless reinstated in the same year).",Carol Chovanec,Carol.Chovanex@gov.ab.ca,(780) 427-0829,DownloadDownloadDownloadDownload,Apprenticeship and Provincial Labour Force StatisticsApprenticeship and Provincial Labour Force StatisticsApprenticeship and Provincial Labour Force StatisticsApprenticeship and Provincial Labour Force Statistics,https://data.iae.alberta.ca/api/views/kk2r-4q46/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/kk2r-4q46/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/kk2r-4q46/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/kk2r-4q46/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Number of Participants in the Registered Apprenticeship Program,"The number of individuals in high school registered in the RAP, the number of individuals who participated in RAP in high school who are now registered in a regular apprenticeship program, and the number of individuals who participated in RAP and...","Thursday, February 20, 2014 - 14:08",,Innovation and Advanced Education,"Apprenticeship, Industry, Trades, Occupations, Training, Apprentice, Journeyperson, Tradesperson",Dataset Management System: Published,"Number of Participants in the Registered Apprenticeship Program by Trade as of December 31, 2012",Innovation and Advanced Education,"Saturday, December 1, 2012",,English,Education and Training,Annually,Apprenticeship and Industry Training Board 2012 Statistical ProfilesIAE Open Data,http://tradesecrets.alberta.ca/sources/pdfs/BOARD_ANNUAL_REPORT/PDF/2012_STATISTICAL_REPORT.PDFhttps://data.iae.alberta.ca/,"High School = RAP participants currently in high school.
Full Time = RAP participants who have completed high school and are now full time apprentices.
Certified = RAP participants who have completed their apprenticeship program and are now certified tradespeople.
Note 1: Total number of RAP participants certified since inception of program.",Carol Chovanec,Carol.Chovanec@gov.ab.ca,(780) 427-0829,DownloadDownloadDownloadDownload,Number of Participants in the Registered Apprenticeship Program by TradeNumber of Participants in the Registered Apprenticeship Program by TradeNumber of Participants in the Registered Apprenticeship Program by TradeNumber of Participants in the Registered Apprenticeship Program by Trade,https://data.iae.alberta.ca/api/views/p5jw-vmgp/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/p5jw-vmgp/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/p5jw-vmgp/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/p5jw-vmgp/rows.json?accessType=DOWNLOAD,XLSCSVXMLJSON
Total Number of Completed Apprentices,The combined number of apprentices certified and individuals issued qualification certificates by trade and by year for the the last six calendar years. Includes averages and per cent changes.,"Thursday, February 20, 2014 - 14:27",,Innovation and Advanced Education,"Apprenticeship, Industry, Trades, Occupations, Training, Apprentice, Journeyperson, Tradesperson",Dataset Management System: Published,"Total Number of Completed Apprentices and Individuals Issued Occupation and Qualification Certificates (Totals, Averages and Percent Changes) by Trade, 2007 - 2012",Innovation and Advanced Education,"Monday, January 1, 2007 - Monday, December 31, 2012",,English,Education and Training,Annually,Apprenticeship and Industry Training Board 2012 Statistical ProfilesIAE Open Data,http://tradesecrets.alberta.ca/sources/pdfs/BOARD_ANNUAL_REPORT/PDF/2012_STATISTICAL_REPORT.PDFhttps://data.iae.alberta.ca/,"Individuals issued more than one certificate in each year are counted here only once.
N/A = Not Applicable. Data does not exist in one or more of the specified years.
Note 1: The designation of the trade of electronic technician was rescinded effective September 1, 2007.
Note 2: Natural gas compression technician became a designated trade on September 1, 2011.
Note 3: Effective April 1, 2011, the designation of the trade of tool and die maker is rescinded. As of May 1, 2009, contracts of apprenticeship were no longer accepted for
registration.
Note 4: Residential construction site manager became a designated occupation on September 30, 2011.
Note 5: The warehousing occupation merged with the parts technician trade on May 1, 2008. Individuals registered in the warehousing occupation on that date had the option to complete their existing warehousing training and become certified prior to May 1, 2010.",Carol Chovanec,Carol.Chovanec@gov.ab.ca,(780) 427-0829,DownloadDownloadDownloadDownload,Total Number of Completed Apprentices and IndividualsTotal Number of Completed Apprentices and IndividualsTotal Number of Completed Apprentices and IndividualsTotal Number of Completed Apprentices and Individuals,https://data.iae.alberta.ca/api/views/2ztz-kur6/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/2ztz-kur6/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/2ztz-kur6/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/2ztz-kur6/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
Total Number of Apprentices Registered by Trade,"The total number of apprentices registered by trade and by year for the last six calendar years. Includes averages and per cent changes.
","Thursday, February 20, 2014 - 14:29",,Innovation and Advanced Education,"Apprenticeship, Industry, Trades, Occupations, Training, Apprentice, Journeyperson, Tradesperson",Dataset Management System: Published,"Total Number of Apprentices Registered (Totals, Averages and Percent Changes) by Trade, 2007 - 2012",Innovation and Advanced Education,"Monday, January 1, 2007 - Monday, December 31, 2012",,English,Education and Training,Annually,Apprenticeship and Industry Training Board 2012 Statistical ProfilesIAE Open Data,http://tradesecrets.alberta.ca/sources/pdfs/BOARD_ANNUAL_REPORT/PDF/2012_STATISTICAL_REPORT.PDFhttps://data.iae.alberta.ca/,"* Total number of apprentices registered as of December 31 each year. Apprentices may be registered in more than one trade or branch of a trade within the same year but are counted here only once.
N/A = Not Applicable. Data does not exist in one or more of the specified years.
Note 1: The designation of the trade of electronic technician was rescinded effective September 1, 2007. Effective September 1, 2005, contracts of apprenticeship were no longer accepted for registration.
Note 2: Natural gas compression technician became a designated trade on September 1, 2011.
Note 3: Approximately 930 of the rig technician apprentices are from Canadian jurisdictions other than Alberta.
Note 4: Effective April 1, 2011, the designation of the trade of tool and die maker is rescinded. As of May 1, 2009, contracts of apprenticeship were no longer accepted for registration.",Carol Chovanec,Carol.Chovanec@gov.ab.ca,(780) 427-0829,DownloadDownloadDownloadDownload,Total Number of Apprentices Registered by TradeTotal Number of Apprentices Registered by TradeTotal Number of Apprentices Registered by TradeTotal Number of Apprentices Registered by Trade,https://data.iae.alberta.ca/api/views/npa6-pxgb/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/npa6-pxgb/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/npa6-pxgb/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/npa6-pxgb/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
New Apprentices Registered,The number of new apprentices registered by trade in each of the last six calendar years. Includes averages and per cent changes. ,"Thursday, February 20, 2014 - 14:30",,Innovation and Advanced Education,"Apprenticeship, Industry, Trades, Occupations, Training, Apprentice, Journeyperson, Tradesperson",Dataset Management System: Published,"Number of New Apprentices Registered (Totals, Averages and Percent Changes) by Trade for 2007 - 2012",Innovation and Advanced Education,"Monday, January 1, 2007 - Monday, December 31, 2012",,English,Education and Training,Annually,Apprenticeship and Industry Training Board 2012 Statistical ProfilesIAE Open Data,http://tradesecrets.alberta.ca/sources/pdfs/BOARD_ANNUAL_REPORT/PDF/2012_STATISTICAL_REPORT.PDFhttps://data.iae.alberta.ca/,"* New apprentices include all apprentices registering during a single calendar year. The number includes those who are returning to do an additional apprenticeship after completing one or more apprenticeship programs in previous years, or continuing an apprenticeship in another trade for which they registered in a previous year. Apprentices who registered in more than one trade or branch of a trade within 2012, are counted here only once. The number does not include reinstated apprentices (unless reinstated in the same year). N/A = Not Applicable. Data does not exist in one or more of the specified years. Note 1: Natural gas compression technician became a designated trade on September 1, 2011. Note 2: Approximately 325 of the newly registered rig technician apprentices are from Canadian jurisdictions other than Alberta. Note 3: Effective April 1, 2011, the designation of the trade of tool and die maker is rescinded. As of May 1, 2009, contracts of apprenticeship were no longer accepted for registration.",Carol Chovanec,Carol.Chovanec@gov.ab.ca,(780) 427-0829,DownloadDownloadDownloadDownload,Number of New Apprentices RegisteredNumber of New Apprentices RegisteredNumber of New Apprentices RegisteredNumber of New Apprentices Registered,https://data.iae.alberta.ca/api/views/cq6v-hmdx/rows.csv?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/cq6v-hmdx/rows.xls?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/cq6v-hmdx/rows.xml?accessType=DOWNLOADhttps://data.iae.alberta.ca/api/views/cq6v-hmdx/rows.json?accessType=DOWNLOAD,CSVXLSXMLJSON
